,unique_id,winning_bid,hours_final,hours_final_nan,age_at_sale,age_at_sale_nan,bucket,bucket_bin,engine,tires,transmission,score
4129,rbauction_10529629,-0.5978653096258961,1.2017343560128666,0,0.6666666666666666,0,bkt,1,,,,35.94473891035079
4160,rbauction_10804822,-0.050598140148773396,-0.22791451880891092,0,0.0,0,bkt,1,,,,33.58403832201357
951,rbauction_10110069,-0.6927197423427893,0.0,1,1.0,0,hyd Q/C bkt,1,,,,28.720292107543692
4708,rbauction_10817750,0.0314111314391301,0.6420509476541575,0,-0.3333333333333333,0,bkt,1,,,,46.74341383604008
5500,rbauction_10708861,0.5758972102231601,-2.9410101324657014,0,-0.6666666666666666,0,Q/C bkt,1,,,,56.41310936459232
5335,rbauction_11271496,-0.4747009299256124,0.0,1,0.0,0,bkt,1,,,,36.783128729050176
3123,PW_DB0321,-0.5978653096258961,0.5266709633005702,0,0.0,1,,0,Cummins B3.3T four cylinder turbo diesel engine,12-16.5 tires,Hydrostatic transmission,59.557417952863005
5046,rbauction_10549148,-0.336529201143553,0.0,1,0.3333333333333333,0,bkt,1,,foam filled tires,,25.606730015686413
2346,PW_A6794,0.08757358863328601,-0.9117773124583048,0,-0.3333333333333333,0,,0,"75 HP, Kubota V3300T four cylinder diesel engine","12-16.5 tires, new",,30.707402910244042
5010,rbauction_10818640,0.5269869266811353,-2.212060845553274,0,-0.6666666666666666,0,bkt,1,,,,29.53037277771647
4788,rbauction_10998044,-0.402470456767821,-0.3756475966104678,0,0.6666666666666666,0,bkt,1,,,,37.63413675409451
2064,rbauction_10448252,0.20439612075291436,0.12158198734861689,0,-0.3333333333333333,0,,0,,,,43.19008930109673
5128,rbauction_11153296,-0.402470456767821,0.5494085360057409,0,0.0,0,bkt,1,,,,33.392391792936365
2467,PW_H3699,-0.8618282712179406,0.8607400907243369,0,2.0,0,"72"" smooth bucket",1,Four cylinder diesel engine,12-16.5NHS tires,,28.503414785518512
3244,PW_DD5233,-0.3055924010504629,0.6672318389413769,0,-0.3333333333333333,0,"Caterpillar 74""W bucket",1,Caterpillar C3.4 3.4L four cylinder turbo diesel engine,,Two speed hydrostatic transmission,44.1383786305676
1683,rbauction_11012479,-0.336529201143553,0.4810164830324205,0,0.3333333333333333,0,bkt,1,,,,37.459744460945416
57,rbauction_10242541,-0.3055924010504629,0.5533606470638187,0,0.0,0,hydraulic Q/C grapple bucket,1,,,,27.576354848828462
1352,rbauction_10039151,-0.09519019911061033,-0.10797902633413854,0,-1.0,0,,0,,,,22.404296730196236
3638,rbauction_10848417,-0.4747009299256124,0.5973675558399126,0,-0.6666666666666666,0,bkt,1,,,,31.78304094683381
1807,rbauction_10050374,-0.5978653096258961,0.44558094111757235,0,1.0,0,bkt,1,,solid tires,,32.740006849117265
5327,ironplanet_1991662,-0.008484730537539065,-6.73282429300883,0,-0.6666666666666666,0,"74.5"" Wide General Purpose Smooth Edge Bucket",1,,,,59.98834544510069
894,rbauction_10616365,-0.5545480135607281,-1.200800967712889,0,-0.3333333333333333,0,bkt,1,,aperture tires,,29.876455549036454
5207,ironplanet_1647342,-0.7450057390983122,-5.767973082403777,0,0.0,1,"69"" Wide General Purpose Smooth Edge Bucket",1,,,,54.38240526295631
3879,rbauction_10649975,-0.09519019911061033,-0.7508801146967422,0,-0.6666666666666666,0,bkt,1,,,,24.88931702047952
5506,rbauction_10931046,-0.14257102428612622,0.17406646755211386,0,-0.3333333333333333,0,bkt,1,,,,40.37102469557829
646,rbauction_11185194,-0.336529201143553,-0.2375656644997656,0,-0.3333333333333333,0,bkt,1,,,,23.365191451757127
6084,rbauction_10312374,-0.43772548144110157,0.2200756249584043,0,0.6666666666666666,0,bkt,1,,cushion tires,,43.4940906991461
2626,PW_B4932,-0.11851038872637609,-1.273118458334236,0,-0.6666666666666666,0,"Bobcat 68""W bucket",1,"65 HP, Kubota V2607 2.6L four cylinder diesel engine",Bobcat 10-16.5 NHS tires,Hydrostatic transmission,25.22007204606357
1691,bigiron_DI2500,-0.402470456767821,0.046856205488208826,0,0.0,1,"Comes With 67"" General Purpose Bucket",1,4 Cylinder Kubota Diesel Engine Model V2203-E,10-16.5 NHS Tires,Hydrostat Transmission,15.018334744824047
4790,rbauction_11026615,-0.7725668259779042,-1.3615700461114686,0,-0.3333333333333333,0,,0,,,,44.449832650261335
2327,PW_A6601,-0.5715789856429714,-0.5244868465031701,0,0.0,0,"60"" bucket",1,"54 HP, Case 4-390 four cylinder diesel engine",10-16.5 tires,,35.755611619592564
2295,rbauction_10595871,-0.11851038872637609,-0.05956488459014539,0,0.0,0,bkt,1,,,,26.781126104581322
4478,rbauction_10163942,-0.402470456767821,1.088936851833397,0,0.6666666666666666,0,bkt,1,,,,48.438758663071035
4823,rbauction_11147834,0.20439612075291436,-0.3229983113043683,0,-0.6666666666666666,0,bkt,1,,,,20.57246155102968
5969,ironplanet_1795732,-0.16742067226840174,-5.515317619928493,0,-0.6666666666666666,0,"79""  General Purpose Smooth Edge Bucket",1,Ultra Low Sulfur Diesel,Cushion Tires,,30.70974286106193
6129,ironplanet_2011143,-0.6438094588007637,-5.767973082403777,0,0.3333333333333333,0,"68"" General Purpose Smooth Edge Bucket",1,,,,45.29164484669733
4424,rbauction_11058999,0.13985958538880894,0.6499364813908152,0,-0.6666666666666666,0,bkt,1,,,,45.33302488516197
3767,rbauction_10272793,-0.11851038872637609,-0.9164364502805735,0,-0.6666666666666666,0,Q/C bkt,1,,,,32.134844488019425
5984,rbauction_10844537,0.011725703531394238,0.0913386464874246,0,-0.6666666666666666,0,,0,,,,43.569507262331015
3744,rbauction_10389140,-0.050598140148773396,-0.8447030936480044,0,-0.3333333333333333,0,bkt,1,,aperture tires,,29.12503601732765
1296,ironplanet_1590928,-0.27586912621808235,-6.73282429300883,0,0.0,1,,0,,,,42.154546064373434
2746,PW_K6557,-0.7782013973864785,0.15012527346336088,0,0.6666666666666666,0,"62""""W bucket",1,Four cylinder diesel engine,10-16.5 tires,Hydrostatic transmission,31.084378592253746
203,rbauction_11243979,-0.21970666902392466,-0.10797902633413854,0,-0.3333333333333333,0,bkt,1,,,,23.49334217770109
4240,rbauction_10835832,-0.008484730537539065,-0.5350138868184529,0,-0.6666666666666666,0,bkt,1,,solid tires,,31.921757216768807
518,rbauction_10213319,-0.6438094588007637,0.13825691150138344,0,0.0,0,bkt,1,,,,22.59715746969481
3257,PW_DD5255,-0.402470456767821,-0.1445481897256145,0,-0.3333333333333333,0,"68""W bucket",1,"49 HP, Kubota V2403 2.4L four cylinder diesel engine",Bobcat 31x6x10/10-16.5 solid tires,Two speed hydrostatic transmission,65.63100591608546
